Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Chlorostilbon auriceps,4,Chlorostilbon auriceps,6
Chlorostilbon bracei,0,Chlorostilbon bracei,0
Chlorostilbon canivetii,4,Chlorostilbon canivetii,23
Chlorostilbon forficatus,1,Chlorostilbon forficatus,10
Chlorostilbon gibsoni,23,Chlorostilbon gibsoni,0
Chlorostilbon lucidus,40,Chlorostilbon lucidus,28
Chlorostilbon maugaeus,2,Chlorostilbon maugaeus,8
Chlorostilbon melanorhynchus,9,Chlorostilbon melanorhynchus,10
Chlorostilbon mellisugus,15,Chlorostilbon mellisugus,10
Chlorostilbon olivaresi,8,Chlorostilbon olivaresi,0
Chlorostilbon poortmani,8,Chlorostilbon poortmani,6
Chlorostilbon ricordii,4,Chlorostilbon ricordii,6
Chlorostilbon russatus,1,Chlorostilbon russatus,0
Chlorostilbon stenurus,0,Chlorostilbon stenurus,0
Chlorostilbon swainsonii,2,Chlorostilbon swainsonii,6
Chlorothraupis carmioli,83,Chlorothraupis carmioli,8
Chlorothraupis olivacea,45,Chlorothraupis olivacea,4
Chlorothraupis stolzmanni,105,Chlorothraupis stolzmanni,4
Cholornis paradoxus,2,Cholornis paradoxus,10
Cholornis unicolor,18,Cholornis unicolor,27
Chondestes grammacus,147,Chondestes grammacus,150
Chondrohierax uncinatus,22,Chondrohierax uncinatus,27
Chordeiles acutipennis,72,Chordeiles acutipennis,21
Chordeiles gundlachii,17,Chordeiles gundlachii,0
Chordeiles minor,123,Chordeiles minor,31
Chordeiles nacunda,19,Chordeiles nacunda,18
Chordeiles pusillus,34,Chordeiles pusillus,4
Chordeiles rupestris,8,Chordeiles rupestris,5
Chroicocephalus brunnicephalus,3,Chroicocephalus brunnicephalus,0
Chroicocephalus bulleri,10,Chroicocephalus bulleri,56
Chroicocephalus cirrocephalus,33,Chroicocephalus cirrocephalus,22
Chroicocephalus genei,143,Chroicocephalus genei,36
Chroicocephalus hartlaubii,10,Chroicocephalus hartlaubii,19
Chroicocephalus maculipennis,26,Chroicocephalus maculipennis,20
Chroicocephalus novaehollandiae,31,Chroicocephalus novaehollandiae,198
Chroicocephalus philadelphia,60,Chroicocephalus philadelphia,22
Chroicocephalus ridibundus,746,Chroicocephalus ridibundus,234
Chroicocephalus serranus,56,Chroicocephalus serranus,10
Chrysococcyx basalis,23,Chrysococcyx basalis,97
Chrysococcyx caprius,84,Chrysococcyx caprius,0
Chrysococcyx cupreus,97,Chrysococcyx cupreus,3
Chrysococcyx flavigularis,4,Chrysococcyx flavigularis,3
Chrysococcyx klaas,66,Chrysococcyx klaas,3
Chrysococcyx lucidus,26,Chrysococcyx lucidus,50
Chrysococcyx maculatus,6,Chrysococcyx maculatus,1
Chrysococcyx megarhynchus,4,Chrysococcyx megarhynchus,0
Chrysococcyx meyerii,6,Chrysococcyx meyerii,0
Chrysococcyx minutillus,60,Chrysococcyx minutillus,168
Chrysococcyx osculans,11,Chrysococcyx osculans,3
Chrysococcyx ruficollis,5,Chrysococcyx ruficollis,0
Chrysococcyx xanthorhynchus,34,Chrysococcyx xanthorhynchus,7
Chrysocolaptes erythrocephalus,4,Chrysocolaptes erythrocephalus,1
Chrysocolaptes festivus,20,Chrysocolaptes festivus,0
Chrysocolaptes guttacristatus,88,Chrysocolaptes guttacristatus,2
Chrysocolaptes haematribon,6,Chrysocolaptes haematribon,3
Chrysocolaptes lucidus,5,Chrysocolaptes lucidus,34
Chrysocolaptes stricklandi,9,Chrysocolaptes stricklandi,0
Chrysocolaptes strictus,2,Chrysocolaptes strictus,1
Chrysocolaptes xanthocephalus,7,Chrysocolaptes xanthocephalus,1
Chrysocorythus estherae,4,Chrysocorythus estherae,2
Chrysolampis mosquitus,13,Chrysolampis mosquitus,54
Chrysolophus amherstiae,18,Chrysolophus amherstiae,100
Chrysolophus pictus,16,Chrysolophus pictus,317
Chrysomma altirostre,16,Chrysomma altirostre,0
Chrysomma poecilotis,6,Chrysomma poecilotis,3
Chrysomma sinense,47,Chrysomma sinense,23
Chrysomus icterocephalus,89,Chrysomus icterocephalus,59
Chrysomus ruficapillus,103,Chrysomus ruficapillus,9
Chrysophlegma flavinucha,42,Chrysophlegma flavinucha,23
Chrysophlegma mentale,41,Chrysophlegma mentale,27
Chrysophlegma miniaceum,34,Chrysophlegma miniaceum,15
Chrysothlypis chrysomelas,10,Chrysothlypis chrysomelas,9
Chrysothlypis salmoni,21,Chrysothlypis salmoni,2
Chrysuronia oenone,48,Chrysuronia oenone,10
Chunga burmeisteri,27,Chunga burmeisteri,48
Ciccaba albitarsis,144,Ciccaba albitarsis,0
Ciccaba huhula,151,Ciccaba huhula,0
Ciccaba nigrolineata,43,Ciccaba nigrolineata,4
Ciccaba virgata,297,Ciccaba virgata,4
Cichladusa arquata,22,Cichladusa arquata,0
Cichladusa guttata,95,Cichladusa guttata,5
Cichladusa ruficauda,12,Cichladusa ruficauda,0
Cichlocolaptes leucophrus,94,Cichlocolaptes leucophrus,6
Cichlocolaptes mazarbarnetti,16,Cichlocolaptes mazarbarnetti,0
Cichlopsis leucogenys,34,Cichlopsis leucogenys,5
Cicinnurus magnificus,32,Cicinnurus magnificus,12
Cicinnurus regius,25,Cicinnurus regius,5
Cicinnurus respublica,33,Cicinnurus respublica,5
Ciconia abdimii,0,Ciconia abdimii,6
Ciconia boyciana,5,Ciconia boyciana,150
Ciconia ciconia,86,Ciconia ciconia,322
Ciconia episcopus,0,Ciconia episcopus,2
Ciconia maguari,3,Ciconia maguari,19
Ciconia nigra,24,Ciconia nigra,38
Ciconia stormi,0,Ciconia stormi,1
Cinclidium frontale,17,Cinclidium frontale,7
Cinclocerthia gutturalis,7,Cinclocerthia gutturalis,15
Cinclocerthia ruficauda,9,Cinclocerthia ruficauda,48
Cinclodes albidiventris,24,Cinclodes albidiventris,11
Cinclodes albiventris,40,Cinclodes albiventris,86
Cinclodes antarcticus,4,Cinclodes antarcticus,19
Cinclodes aricomae,7,Cinclodes aricomae,11
Cinclodes atacamensis,10,Cinclodes atacamensis,18
Cinclodes comechingonus,1,Cinclodes comechingonus,6
Cinclodes excelsior,27,Cinclodes excelsior,7
Cinclodes fuscus,146,Cinclodes fuscus,66
Cinclodes nigrofumosus,8,Cinclodes nigrofumosus,6
Cinclodes olrogi,8,Cinclodes olrogi,6
Cinclodes oustaleti,15,Cinclodes oustaleti,12
Cinclodes pabsti,18,Cinclodes pabsti,68
Cinclodes palliatus,11,Cinclodes palliatus,4
Cinclodes patagonicus,36,Cinclodes patagonicus,10
Cinclodes taczanowskii,10,Cinclodes taczanowskii,6
Cincloramphus bivittatus,13,Cincloramphus bivittatus,7
Cincloramphus cruralis,7,Cincloramphus cruralis,5
Cincloramphus grosvenori,0,Cincloramphus grosvenori,7
Cincloramphus llaneae,0,Cincloramphus llaneae,0
Cincloramphus macrurus,21,Cincloramphus macrurus,5
Cincloramphus mariei,11,Cincloramphus mariei,11
Cincloramphus mathewsi,24,Cincloramphus mathewsi,8
Cincloramphus rubiginosus,2,Cincloramphus rubiginosus,6
Cincloramphus rufus,3,Cincloramphus rufus,8
Cincloramphus timoriensis,55,Cincloramphus timoriensis,13
Cincloramphus whitneyi,2,Cincloramphus whitneyi,4
Cinclosoma ajax,16,Cinclosoma ajax,7
Cinclosoma alisteri,0,Cinclosoma alisteri,16
Cinclosoma castaneothorax,6,Cinclosoma castaneothorax,20
Cinclosoma castanotum,7,Cinclosoma castanotum,101
Cinclosoma cinnamomeum,3,Cinclosoma cinnamomeum,34
Cinclosoma clarum,4,Cinclosoma clarum,318
Cinclosoma marginatum,8,Cinclosoma marginatum,27
Cinclosoma punctatum,17,Cinclosoma punctatum,47
Cinclus cinclus,169,Cinclus cinclus,518
Cinclus leucocephalus,8,Cinclus leucocephalus,1
Cinclus mexicanus,36,Cinclus mexicanus,29
Cinclus pallasii,69,Cinclus pallasii,18
Cinclus schulzii,4,Cinclus schulzii,0
Cinnycerthia fulva,12,Cinnycerthia fulva,1
Cinnycerthia olivascens,138,Cinnycerthia olivascens,1
Cinnycerthia peruana,31,Cinnycerthia peruana,9
Cinnycerthia unirufa,130,Cinnycerthia unirufa,0
Cinnyricinclus leucogaster,26,Cinnyricinclus leucogaster,22
Cinnyris afer,21,Cinnyris afer,11
Cinnyris asiaticus,133,Cinnyris asiaticus,17
Cinnyris batesi,10,Cinnyris batesi,0
Cinnyris bifasciatus,46,Cinnyris bifasciatus,0
Cinnyris bouvieri,7,Cinnyris bouvieri,12
Cinnyris buettikoferi,5,Cinnyris buettikoferi,0
Cinnyris chalcomelas,1,Cinnyris chalcomelas,0
Cinnyris chalybeus,70,Cinnyris chalybeus,11
Cinnyris chloropygius,67,Cinnyris chloropygius,6
Cinnyris coccinigastrus,58,Cinnyris coccinigastrus,5
Cinnyris comorensis,3,Cinnyris comorensis,9
Cinnyris congensis,0,Cinnyris congensis,0
Cinnyris coquerellii,2,Cinnyris coquerellii,9
Cinnyris cupreus,23,Cinnyris cupreus,11
Cinnyris dussumieri,25,Cinnyris dussumieri,12
Cinnyris erythrocercus,21,Cinnyris erythrocercus,2
Cinnyris fuelleborni,8,Cinnyris fuelleborni,429
Cinnyris fuscus,27,Cinnyris fuscus,0
Cinnyris gertrudis,14,Cinnyris gertrudis,2
Cinnyris habessinicus,26,Cinnyris habessinicus,3
Cinnyris humbloti,6,Cinnyris humbloti,16
Cinnyris johannae,7,Cinnyris johannae,0
Cinnyris jugularis,174,Cinnyris jugularis,72
Cinnyris lotenius,25,Cinnyris lotenius,0
Cinnyris loveridgei,12,Cinnyris loveridgei,13
Cinnyris ludovicensis,6,Cinnyris ludovicensis,124
Cinnyris manoensis,7,Cinnyris manoensis,4
Cinnyris mariquensis,55,Cinnyris mariquensis,2
Cinnyris mediocris,21,Cinnyris mediocris,37
Cinnyris minullus,2,Cinnyris minullus,5
Cinnyris moreaui,49,Cinnyris moreaui,405
Cinnyris nectarinioides,19,Cinnyris nectarinioides,0
Cinnyris neergaardi,3,Cinnyris neergaardi,0
Cinnyris notatus,19,Cinnyris notatus,15
Cinnyris osea,33,Cinnyris osea,0
Cinnyris oustaleti,0,Cinnyris oustaleti,0
Cinnyris pembae,9,Cinnyris pembae,0
Cinnyris prigoginei,0,Cinnyris prigoginei,0
Cinnyris pulchellus,45,Cinnyris pulchellus,4
Cinnyris regius,19,Cinnyris regius,7
Cinnyris reichenowi,43,Cinnyris reichenowi,16
Cinnyris rockefelleri,0,Cinnyris rockefelleri,0
Cinnyris rufipennis,21,Cinnyris rufipennis,2
Cinnyris shelleyi,3,Cinnyris shelleyi,0
Cinnyris solaris,21,Cinnyris solaris,0
Cinnyris sovimanga,41,Cinnyris sovimanga,36
Cinnyris stuhlmanni,7,Cinnyris stuhlmanni,16
Cinnyris superbus,5,Cinnyris superbus,5
Cinnyris talatala,64,Cinnyris talatala,4
Cinnyris tsavoensis,9,Cinnyris tsavoensis,0
Cinnyris ursulae,1,Cinnyris ursulae,5
Cinnyris usambaricus,15,Cinnyris usambaricus,5
Cinnyris venustus,122,Cinnyris venustus,14
Circaetus beaudouini,0,Circaetus beaudouini,0
Circaetus cinerascens,6,Circaetus cinerascens,2
Circaetus cinereus,0,Circaetus cinereus,7
Circaetus fasciolatus,3,Circaetus fasciolatus,4
Circaetus gallicus,55,Circaetus gallicus,27
Circaetus pectoralis,1,Circaetus pectoralis,11
Circus aeruginosus,179,Circus aeruginosus,46
Circus approximans,8,Circus approximans,16
Circus assimilis,1,Circus assimilis,11
Circus buffoni,15,Circus buffoni,14
Circus cinereus,8,Circus cinereus,5
Circus cyaneus,16,Circus cyaneus,45
Circus hudsonius,37,Circus hudsonius,26
Circus macrosceles,1,Circus macrosceles,6
Circus macrourus,22,Circus macrourus,6
Circus maillardi,6,Circus maillardi,8
Circus maurus,2,Circus maurus,9
Circus melanoleucos,1,Circus melanoleucos,7
Circus pygargus,110,Circus pygargus,102
Circus ranivorus,1,Circus ranivorus,7
Circus spilonotus,22,Circus spilonotus,19
Circus spilothorax,0,Circus spilothorax,5
Ciridops anna,0,Ciridops anna,0
Cissa chinensis,86,Cissa chinensis,17
Cissa hypoleuca,26,Cissa hypoleuca,6
Cissa jefferyi,29,Cissa jefferyi,8
Cissa thalassina,3,Cissa thalassina,2
Cissomela pectoralis,11,Cissomela pectoralis,5
Cissopis leverianus,81,Cissopis leverianus,9
Cisticola aberdare,4,Cisticola aberdare,0
Cisticola aberrans,47,Cisticola aberrans,0
Cisticola angusticauda,1,Cisticola angusticauda,0
Cisticola anonymus,19,Cisticola anonymus,5
Cisticola aridulus,29,Cisticola aridulus,0
Cisticola ayresii,34,Cisticola ayresii,0
Cisticola bodessa,11,Cisticola bodessa,0
Cisticola brachypterus,47,Cisticola brachypterus,5
Cisticola brunnescens,13,Cisticola brunnescens,0
Cisticola bulliens,2,Cisticola bulliens,0
Cisticola cantans,91,Cisticola cantans,6
Cisticola carruthersi,9,Cisticola carruthersi,7
Cisticola cherina,31,Cisticola cherina,5
Cisticola chiniana,206,Cisticola chiniana,0
Cisticola chubbi,48,Cisticola chubbi,21
Cisticola cinereolus,15,Cisticola cinereolus,0
Cisticola cinnamomeus,8,Cisticola cinnamomeus,0
Cisticola dambo,11,Cisticola dambo,0
Cisticola erythrops,135,Cisticola erythrops,9
Cisticola exilis,62,Cisticola exilis,12
Cisticola eximius,2,Cisticola eximius,0
Cisticola fulvicapilla,41,Cisticola fulvicapilla,2
Cisticola galactotes,3,Cisticola galactotes,7
Cisticola guinea,1,Cisticola guinea,4
Cisticola haematocephalus,5,Cisticola haematocephalus,0
Cisticola haesitatus,3,Cisticola haesitatus,0
Cisticola hunteri,25,Cisticola hunteri,0
Cisticola juncidis,577,Cisticola juncidis,95
Cisticola lais,51,Cisticola lais,4
Cisticola lateralis,45,Cisticola lateralis,0
Cisticola luapula,1,Cisticola luapula,0
Cisticola lugubris,8,Cisticola lugubris,0
Cisticola marginatus,61,Cisticola marginatus,2
Cisticola melanurus,0,Cisticola melanurus,0
Cisticola nana,7,Cisticola nana,0
Cisticola natalensis,37,Cisticola natalensis,0
Cisticola nigriloris,23,Cisticola nigriloris,4
Cisticola njombe,42,Cisticola njombe,0
Cisticola pipiens,13,Cisticola pipiens,0
Cisticola restrictus,0,Cisticola restrictus,0
Cisticola robustus,18,Cisticola robustus,0
Cisticola ruficeps,4,Cisticola ruficeps,0
Cisticola rufilatus,12,Cisticola rufilatus,0
Cisticola rufus,2,Cisticola rufus,0
Cisticola subruficapilla,42,Cisticola subruficapilla,0
Cisticola textrix,41,Cisticola textrix,0
Cisticola tinniens,57,Cisticola tinniens,3
Cisticola troglodytes,2,Cisticola troglodytes,0
Cisticola woosnami,64,Cisticola woosnami,0
Cistothorus apolinari,147,Cistothorus apolinari,0
Cistothorus meridae,7,Cistothorus meridae,0
Cistothorus palustris,418,Cistothorus palustris,19
Cistothorus platensis,453,Cistothorus platensis,113
Cittura cyanotis,7,Cittura cyanotis,8
Cladorhynchus leucocephalus,1,Cladorhynchus leucocephalus,4
Clamator coromandus,35,Clamator coromandus,5
Clamator glandarius,153,Clamator glandarius,12
Clamator jacobinus,48,Clamator jacobinus,5
Clamator levaillantii,22,Clamator levaillantii,0
Clanga clanga,29,Clanga clanga,547
Clanga hastata,7,Clanga hastata,2
Clanga pomarina,51,Clanga pomarina,124
Clangula hyemalis,97,Clangula hyemalis,143
Claravis pretiosa,128,Claravis pretiosa,27
Cleptornis marchei,3,Cleptornis marchei,4
Clibanornis dendrocolaptoides,55,Clibanornis dendrocolaptoides,14
Clibanornis erythrocephalus,38,Clibanornis erythrocephalus,14
Clibanornis rectirostris,45,Clibanornis rectirostris,12
Clibanornis rubiginosus,130,Clibanornis rubiginosus,67
Clibanornis rufipectus,25,Clibanornis rufipectus,0
Climacteris affinis,5,Climacteris affinis,0
Climacteris erythrops,5,Climacteris erythrops,29
Climacteris melanurus,12,Climacteris melanurus,0
Climacteris picumnus,27,Climacteris picumnus,84
Climacteris rufus,8,Climacteris rufus,45
Clytoceyx rex,12,Clytoceyx rex,8
Clytoctantes alixii,35,Clytoctantes alixii,0
Clytoctantes atrogularis,10,Clytoctantes atrogularis,0
Clytolaema rubricauda,47,Clytolaema rubricauda,8
Clytomyias insignis,9,Clytomyias insignis,47
Clytorhynchus hamlini,2,Clytorhynchus hamlini,12
Clytorhynchus nigrogularis,2,Clytorhynchus nigrogularis,14
Clytorhynchus pachycephaloides,6,Clytorhynchus pachycephaloides,14
Clytorhynchus sanctaecrucis,0,Clytorhynchus sanctaecrucis,0
Clytorhynchus vitiensis,20,Clytorhynchus vitiensis,42
Clytospiza monteiri,1,Clytospiza monteiri,2
Cnemarchus erythropygius,9,Cnemarchus erythropygius,8
Cnemathraupis aureodorsalis,10,Cnemathraupis aureodorsalis,4
Cnemathraupis eximia,21,Cnemathraupis eximia,22
Cnemophilus loriae,3,Cnemophilus loriae,28
Cnemophilus macgregorii,3,Cnemophilus macgregorii,2
Cnemoscopus rubrirostris,29,Cnemoscopus rubrirostris,7
Cnemotriccus fuscatus,182,Cnemotriccus fuscatus,72
Cnipodectes subbrunneus,96,Cnipodectes subbrunneus,14
Cnipodectes superrufus,25,Cnipodectes superrufus,0
Coccopygia bocagei,0,Coccopygia bocagei,0
Coccopygia melanotis,20,Coccopygia melanotis,3
Coccopygia quartinia,18,Coccopygia quartinia,2
Coccothraustes abeillei,31,Coccothraustes abeillei,0
Coccothraustes coccothraustes,770,Coccothraustes coccothraustes,377
Coccothraustes vespertinus,181,Coccothraustes vespertinus,35
Coccycua cinerea,8,Coccycua cinerea,3
Coccycua minuta,83,Coccycua minuta,8
Coccycua pumila,6,Coccycua pumila,0
Coccyzus americanus,222,Coccyzus americanus,92
Coccyzus erythropthalmus,60,Coccyzus erythropthalmus,12
Coccyzus euleri,30,Coccyzus euleri,1
Coccyzus ferrugineus,0,Coccyzus ferrugineus,0
Coccyzus lansbergi,8,Coccyzus lansbergi,0
Coccyzus longirostris,8,Coccyzus longirostris,3
Coccyzus melacoryphus,64,Coccyzus melacoryphus,14
Coccyzus merlini,13,Coccyzus merlini,1
Coccyzus minor,43,Coccyzus minor,4
Coccyzus pluvialis,1,Coccyzus pluvialis,0
Coccyzus rufigularis,5,Coccyzus rufigularis,0
Coccyzus vetula,1,Coccyzus vetula,1
Coccyzus vieilloti,10,Coccyzus vieilloti,1
Cochlearius cochlearius,33,Cochlearius cochlearius,59
Cochoa azurea,19,Cochoa azurea,0
Cochoa beccarii,1,Cochoa beccarii,0
Cochoa purpurea,4,Cochoa purpurea,5
Cochoa viridis,25,Cochoa viridis,10
Coeligena bonapartei,8,Coeligena bonapartei,77
Coeligena coeligena,22,Coeligena coeligena,173
Coeligena helianthea,3,Coeligena helianthea,52
Coeligena iris,22,Coeligena iris,28
Coeligena lutetiae,32,Coeligena lutetiae,24
Coeligena orina,5,Coeligena orina,27
Coeligena phalerata,3,Coeligena phalerata,10
Coeligena prunellei,15,Coeligena prunellei,16
Coeligena torquata,12,Coeligena torquata,181
Coeligena violifer,13,Coeligena violifer,26
Coeligena wilsoni,29,Coeligena wilsoni,16
Coenocorypha aucklandica,0,Coenocorypha aucklandica,271
Coenocorypha barrierensis,0,Coenocorypha barrierensis,0
Coenocorypha huegeli,1,Coenocorypha huegeli,84
Coenocorypha iredalei,0,Coenocorypha iredalei,0
Coenocorypha pusilla,1,Coenocorypha pusilla,77
Coereba flaveola,495,Coereba flaveola,1164
Colaptes atricollis,19,Colaptes atricollis,12
Colaptes auratus,291,Colaptes auratus,86
Colaptes auricularis,21,Colaptes auricularis,8
Colaptes campestris,100,Colaptes campestris,17
Colaptes chrysoides,48,Colaptes chrysoides,12
Colaptes fernandinae,11,Colaptes fernandinae,3
Colaptes melanochloros,99,Colaptes melanochloros,45
Colaptes oceanicus,0,Colaptes oceanicus,0
Colaptes pitius,29,Colaptes pitius,16
Colaptes punctigula,52,Colaptes punctigula,18
Colaptes rivolii,89,Colaptes rivolii,24
Colaptes rubiginosus,164,Colaptes rubiginosus,33
Colaptes rupicola,61,Colaptes rupicola,18
Colibri coruscans,199,Colibri coruscans,1524
Colibri cyanotus,271,Colibri cyanotus,0
Colibri delphinae,83,Colibri delphinae,8
Colibri serrirostris,70,Colibri serrirostris,6
Colibri thalassinus,57,Colibri thalassinus,195
Colinus cristatus,83,Colinus cristatus,136
Colinus nigrogularis,7,Colinus nigrogularis,35
Colinus virginianus,93,Colinus virginianus,2087
Colius castanotus,0,Colius castanotus,0
Colius colius,23,Colius colius,74
Colius leucocephalus,4,Colius leucocephalus,2
Colius striatus,61,Colius striatus,86108
Collocalia affinis,16,Collocalia affinis,24
Collocalia dodgei,15,Collocalia dodgei,5
Collocalia esculenta,4,Collocalia esculenta,85
Collocalia isonota,1,Collocalia isonota,4
Collocalia linchi,1,Collocalia linchi,33
Collocalia marginata,0,Collocalia marginata,6
Collocalia natalis,0,Collocalia natalis,3
Collocalia neglecta,1,Collocalia neglecta,1
Collocalia sumbawae,1,Collocalia sumbawae,4
Collocalia troglodytes,3,Collocalia troglodytes,7
Collocalia uropygialis,1,Collocalia uropygialis,5
Colluricincla boweri,25,Colluricincla boweri,6
Colluricincla harmonica,113,Colluricincla harmonica,552
Colluricincla megarhyncha,99,Colluricincla megarhyncha,850
Colluricincla tenebrosa,0,Colluricincla tenebrosa,27
Colluricincla woodwardi,2,Colluricincla woodwardi,10
Colonia colonus,116,Colonia colonus,34
Colorhamphus parvirostris,23,Colorhamphus parvirostris,11
Columba albinucha,0,Columba albinucha,0
Columba albitorques,4,Columba albitorques,0
Columba argentina,1,Columba argentina,0
Columba arquatrix,22,Columba arquatrix,11
Columba bollii,11,Columba bollii,23
Columba delegorguei,48,Columba delegorguei,0
