no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
2479,Brown Wood Owl,Strix leptogrammica,,68,9,Strix leptogrammica,,,,2479,Ascension Frigatebird,Fregata aquila
2480,Tawny Owl,Strix aluco,,1542,508,Strix aluco,,,,2480,Magnificent Frigatebird,Fregata magnificens
2481,Himalayan Owl,Strix nivicolum,,16,2,Strix nivicolum,,,,2481,Christmas Island Frigatebird,Fregata andrewsi
2482,Omani Owl,Strix butleri,,0,0,Strix butleri,,,,2482,Great Frigatebird,Fregata minor
2483,Desert Owl,Strix hadorami,,22,0,Strix hadorami,,,,2483,Masked Booby,Sula dactylatra
2484,Spotted Owl,Strix occidentalis,,132,14,Strix occidentalis,,,,2484,Nazca Booby,Sula granti
2485,Barred Owl,Strix varia,,147,18,Strix varia,,,,2485,Blue-footed Booby,Sula nebouxii
2486,Cinereous Owl,Strix sartorii,,8,0,Strix varia,,,,2486,Peruvian Booby,Sula variegata
2487,Fulvous Owl,Strix fulvescens,,33,1,Strix fulvescens,,,,2487,Brown Booby,Sula leucogaster
2488,Rusty-barred Owl,Strix hylophila,,75,1,Strix hylophila,,,,2488,Red-footed Booby,Sula sula
2489,Chaco Owl,Strix chacoensis,,13,0,Strix chacoensis,,,,2489,Abbott's Booby,Papasula abbotti
2490,Rufous-legged Owl,Strix rufipes,,34,0,Strix rufipes,,,,2490,Northern Gannet,Morus bassanus
2491,Ural Owl,Strix uralensis,,196,12,Strix uralensis,,,,2491,Cape Gannet,Morus capensis
2492,Pere David's Owl,Strix davidi,,4,0,Strix davidi,,,,2492,Australasian Gannet,Morus serrator
2493,Great Grey Owl,Strix nebulosa,,54,3,Strix nebulosa,,,,2493,Anhinga,Anhinga anhinga
2494,African Wood Owl,Strix woodfordii,,110,4,Strix woodfordii,,,,2494,African Darter,Anhinga rufa
2495,Mottled Owl,Strix virgata,,297,61,Ciccaba virgata,,,,2495,Oriental Darter,Anhinga melanogaster
2496,Rufous-banded Owl,Strix albitarsis,,144,8,Ciccaba albitarsis,,,,2496,Australasian Darter,Anhinga novaehollandiae
2497,Black-and-white Owl,Strix nigrolineata,,43,3,Ciccaba nigrolineata,,,,2497,Little Pied Cormorant,Microcarbo melanoleucos
2498,Black-banded Owl,Strix huhula,,151,27,Ciccaba huhula,,,,2498,Long-tailed Cormorant,Microcarbo africanus
2499,Maned Owl,Jubula lettii,,0,0,Jubula lettii,,,,2499,Crowned Cormorant,Microcarbo coronatus
2500,Crested Owl,Lophostrix cristata,,86,33,Lophostrix cristata,,,,2500,Little Cormorant,Microcarbo niger
2501,Spectacled Owl,Pulsatrix perspicillata,,149,17,Pulsatrix perspicillata,,,,2501,Pygmy Cormorant,Microcarbo pygmaeus
2502,Tawny-browed Owl,Pulsatrix koeniswaldiana,,96,6,Pulsatrix koeniswaldiana,,,,2502,Red-legged Cormorant,Phalacrocorax gaimardi
2503,Band-bellied Owl,Pulsatrix melanota,,71,5,Pulsatrix melanota,,,,2503,Brandt's Cormorant,Phalacrocorax penicillatus
2504,Northern Hawk-Owl,Surnia ulula,,50,1,Surnia ulula,,,,2504,Red-faced Cormorant,Phalacrocorax urile
2505,Eurasian Pygmy Owl,Glaucidium passerinum,,357,33,Glaucidium passerinum,,,,2505,Pelagic Cormorant,Phalacrocorax pelagicus
2506,Collared Owlet,Glaucidium brodiei,,101,47,Glaucidium brodiei,,,,2506,Pallas's Cormorant,Phalacrocorax perspicillatus
2507,Pearl-spotted Owlet,Glaucidium perlatum,,56,10,Glaucidium perlatum,,,,2507,Great Cormorant,Phalacrocorax carbo
2508,Northern Pygmy Owl,Glaucidium californicum,,173,24,Glaucidium gnoma,,,,2508,Japanese Cormorant,Phalacrocorax capillatus
2509,Mountain Pygmy Owl,Glaucidium gnoma,,74,17,Glaucidium gnoma,,,,2509,Cape Cormorant,Phalacrocorax capensis
2510,Baja Pygmy Owl,Glaucidium hoskinsii,,16,3,Glaucidium gnoma,,,,2510,Bank Cormorant,Phalacrocorax neglectus
2511,Guatemalan Pygmy Owl,Glaucidium cobanense,,13,0,Glaucidium gnoma,,,,2511,Socotra Cormorant,Phalacrocorax nigrogularis
2512,Costa Rican Pygmy Owl,Glaucidium costaricanum,,19,1,Glaucidium costaricanum,,,,2512,Indian Cormorant,Phalacrocorax fuscicollis
2513,Andean Pygmy Owl,Glaucidium jardinii,,65,8,Glaucidium jardinii,,,,2513,Spotted Shag,Phalacrocorax punctatus
2514,Cloud-forest Pygmy Owl,Glaucidium nubicola,,32,2,Glaucidium nubicola,,,,2514,Pitt Island Shag,Phalacrocorax featherstoni
2515,Yungas Pygmy Owl,Glaucidium bolivianum,,32,7,Glaucidium bolivianum,,,,2515,Little Black Cormorant,Phalacrocorax sulcirostris
2516,Colima Pygmy Owl,Glaucidium palmarum,,29,70,Glaucidium palmarum,,,,2516,Pied Cormorant,Phalacrocorax varius
2517,Tamaulipas Pygmy Owl,Glaucidium sanchezi,,13,1,Glaucidium sanchezi,,,,2517,Black-faced Cormorant,Phalacrocorax fuscescens
2518,Pernambuco Pygmy Owl,Glaucidium mooreorum,,1,0,Glaucidium mooreorum,,,,2518,European Shag,Phalacrocorax aristotelis
2519,Central American Pygmy Owl,Glaucidium griseiceps,,39,3,Glaucidium griseiceps,,,,2519,Flightless Cormorant,Phalacrocorax harrisi
2520,Subtropical Pygmy Owl,Glaucidium parkeri,,13,1,Glaucidium parkeri,,,,2520,Neotropic Cormorant,Phalacrocorax brasilianus
2521,Amazonian Pygmy Owl,Glaucidium hardyi,,83,112,Glaucidium hardyi,,,,2521,Double-crested Cormorant,Phalacrocorax auritus
2522,East Brazilian Pygmy Owl,Glaucidium minutissimum,,60,7,Glaucidium minutissimum,,,,2522,Magellanic Cormorant,Phalacrocorax magellanicus
2523,Ferruginous Pygmy Owl,Glaucidium brasilianum,,393,347,Glaucidium brasilianum,,,,2523,Guanay Cormorant,Phalacrocorax bougainvillii
2524,Pacific Pygmy Owl,Glaucidium peruanum,,68,42,Glaucidium peruanum,,,,2524,Bounty Islands Shag,Phalacrocorax ranfurlyi
2525,Austral Pygmy Owl,Glaucidium nana,,51,3,Glaucidium nana,,,,2525,New Zealand King Shag,Phalacrocorax carunculatus
2526,Cuban Pygmy Owl,Glaucidium siju,,14,1,Glaucidium siju,,,,2526,Stewart Island Shag,Phalacrocorax chalconotus
2527,Red-chested Owlet,Glaucidium tephronotum,,14,0,Glaucidium tephronotum,,,,2527,Chatham Islands Shag,Phalacrocorax onslowi
2528,Sjöstedt's Barred Owlet,Glaucidium sjostedti,,7,1,Glaucidium sjostedti,,,,2528,Auckland Islands Shag,Phalacrocorax colensoi
2529,Asian Barred Owlet,Glaucidium cuculoides,,105,10,Glaucidium cuculoides,,,,2529,Campbell Islands Shag,Phalacrocorax campbelli
2530,Javan Owlet,Glaucidium castanopterum,,21,1,Glaucidium castanopterum,,,,2530,South Georgia Shag,Phalacrocorax georgianus
2531,Jungle Owlet,Glaucidium radiatum,,60,7,Glaucidium radiatum,,,,2531,Imperial Cormorant,Phalacrocorax atriceps
2532,Chestnut-backed Owlet,Glaucidium castanotum,,25,0,Glaucidium castanotum,,,,2532,Antarctic Shag,Phalacrocorax bransfieldensis
2533,African Barred Owlet,Glaucidium capense,,39,3,Glaucidium capense,,,,2533,Crozet Shag,Phalacrocorax melanogenis
2534,Albertine Owlet,Glaucidium albertinum,,1,0,Glaucidium albertinum,,,,2534,Kerguelen Shag,Phalacrocorax verrucosus
2535,Long-whiskered Owlet,Xenoglaux loweryi,,31,1,Xenoglaux loweryi,,,,2535,Heard Island Shag,Phalacrocorax nivalis
2536,Elf Owl,Micrathene whitneyi,,68,21,Micrathene whitneyi,,,,2536,Macquarie Shag,Phalacrocorax purpurascens
2537,Little Owl,Athene noctua,,815,164,Athene noctua,,,,2537,American White Pelican,Pelecanus erythrorhynchos
2538,Spotted Owlet,Athene brama,,32,1,Athene brama,,,,2538,Brown Pelican,Pelecanus occidentalis
2539,Burrowing Owl,Athene cunicularia,,139,5,Athene cunicularia,,,,2539,Peruvian Pelican,Pelecanus thagus
2540,White-browed Owl,Athene superciliaris,,14,0,Athene superciliaris,,,,2540,Great White Pelican,Pelecanus onocrotalus
2541,Forest Owlet,Athene blewitti,,15,0,Athene blewitti,,,,2541,Australian Pelican,Pelecanus conspicillatus
2542,Boreal Owl,Aegolius funereus,,314,32,Aegolius funereus,,,,2542,Pink-backed Pelican,Pelecanus rufescens
2543,Northern Saw-whet Owl,Aegolius acadicus,,267,9,Aegolius acadicus,,,,2543,Spot-billed Pelican,Pelecanus philippensis
2544,Bermuda Saw-whet Owl,Aegolius gradyi,Extinct,0,0,Aegolius gradyi,,,,2544,Dalmatian Pelican,Pelecanus crispus
2545,Unspotted Saw-whet Owl,Aegolius ridgwayi,,21,0,Aegolius ridgwayi,,,,2545,Shoebill,Balaeniceps rex
2546,Buff-fronted Owl,Aegolius harrisii,,73,2,Aegolius harrisii,,,,2546,Hamerkop,Scopus umbretta
2547,Rufous Owl,Ninox rufa,,6,0,Ninox rufa,,,,2547,Pinnated Bittern,Botaurus pinnatus
2548,Togian Boobook,Ninox burhani,,9,0,Ninox burhani,,,,2548,American Bittern,Botaurus lentiginosus
2549,Powerful Owl,Ninox strenua,,11,3,Ninox strenua,,,,2549,Great Bittern,Botaurus stellaris
2550,Barking Owl,Ninox connivens,,32,3,Ninox connivens,,,,2550,Australasian Bittern,Botaurus poiciloptilus
2551,Sumba Boobook,Ninox rudolfi,,11,0,Ninox rudolfi,,,,2551,Zigzag Heron,Zebrilus undulatus
2552,Australian Boobook,Ninox boobook,,64,21,Ninox boobook,,,,2552,Yellow Bittern,Ixobrychus sinensis
2553,Rote Boobook,Ninox rotiensis,,11,0,Ninox boobook,,,,2553,Little Bittern,Ixobrychus minutus
2554,Timor Boobook,Ninox fusca,,20,0,Ninox boobook,,,,2554,Black-backed Bittern,Ixobrychus dubius
2555,Alor Boobook,Ninox plesseni,,16,0,Ninox boobook,,,,2555,New Zealand Bittern,Ixobrychus novaezelandiae
2556,Morepork,Ninox novaeseelandiae,,34,6,Ninox novaeseelandiae,,,,2556,Schrenck's Bittern,Ixobrychus eurhythmus
2557,Brown Hawk-Owl,Ninox scutulata,,121,12,Ninox scutulata,,,,2557,Cinnamon Bittern,Ixobrychus cinnamomeus
2558,Northern Boobook,Ninox japonica,,51,3,Ninox japonica,,,,2558,Dwarf Bittern,Ixobrychus sturmii
2559,Chocolate Boobook,Ninox randi,,6,1,Ninox randi,,,,2559,Black Bittern,Ixobrychus flavicollis
2560,Hume's Hawk-Owl,Ninox obscura,,12,0,Ninox obscura,,,,2560,Least Bittern,Ixobrychus exilis
2561,Andaman Hawk-Owl,Ninox affinis,,9,0,Ninox affinis,,,,2561,Stripe-backed Bittern,Ixobrychus involucris
2562,Luzon Hawk-Owl,Ninox philippensis,,49,4,Ninox philippensis,,,,2562,Rufescent Tiger-Heron,Tigrisoma lineatum
2563,Mindanao Hawk-Owl,Ninox spilocephala,,12,1,Ninox spilocephala,,,,2563,Fasciated Tiger-Heron,Tigrisoma fasciatum
2564,Mindoro Hawk-Owl,Ninox mindorensis,,3,0,Ninox mindorensis,,,,2564,Bare-throated Tiger-Heron,Tigrisoma mexicanum
2565,Romblon Hawk-Owl,Ninox spilonotus,,4,0,Ninox spilonotus,,,,2565,Forest Bittern,Zonerodius heliosylus
2566,Cebu Hawk-Owl,Ninox rumseyi,,11,0,Ninox rumseyi,,,,2566,White-crested Bittern,Tigriornis leucolopha
2567,Camiguin Hawk-Owl,Ninox leventisi,,1,0,Ninox leventisi,,,,2567,Great Blue Heron,Ardea herodias
2568,Sulu Hawk-Owl,Ninox reyi,,2,0,Ninox reyi,,,,2568,Gray Heron,Ardea cinerea
2569,Ochre-bellied Boobook,Ninox ochracea,,17,2,Ninox ochracea,,,,2569,Cocoi Heron,Ardea cocoi
2570,Cinnabar Boobook,Ninox ios,,21,0,Ninox ios,,,,2570,Pacific Heron,Ardea pacifica
2571,Seram Boobook,Ninox squamipila,,3,0,Ninox squamipila,,,,2571,Black-headed Heron,Ardea melanocephala
2572,Buru Boobook,Ninox hantu,,0,0,Ninox squamipila,,,,2572,Humblot's Heron,Ardea humbloti
2573,Halmahera Boobook,Ninox hypogramma,,12,5,Ninox hypogramma,,,,2573,White-bellied Heron,Ardea insignis
2574,Tanimbar Boobook,Ninox forbesi,,8,0,Ninox forbesi,,,,2574,Great-billed Heron,Ardea sumatrana
2575,Christmas Boobook,Ninox natalis,,4,0,Ninox natalis,,,,2575,Goliath Heron,Ardea goliath
2576,Papuan Boobook,Ninox theomacha,,24,0,Ninox theomacha,,,,2576,Purple Heron,Ardea purpurea
2577,Manus Boobook,Ninox meeki,,1,0,Ninox meeki,,,,2577,Great Egret,Ardea alba
2578,Speckled Boobook,Ninox punctulata,,9,0,Ninox punctulata,,,,2578,Intermediate Egret,Ardea intermedia
2579,New Ireland Boobook,Ninox variegata,,1,0,Ninox variegata,,,,2579,White-faced Heron,Egretta novaehollandiae
2580,New Britain Boobook,Ninox odiosa,,1,0,Ninox odiosa,,,,2580,Chinese Egret,Egretta eulophotes
2581,Solomons Boobook,Ninox jacquinoti,,21,0,Ninox jacquinoti,,,,2581,Little Egret,Egretta garzetta
2582,Little Sumba Hawk-Owl,Ninox sumbaensis,,19,0,Ninox sumbaensis,,,,2582,Western Reef-Heron,Egretta gularis
2583,Papuan Hawk-Owl,Uroglaux dimorpha,,8,1,Uroglaux dimorpha,,,,2583,Pacific Reef-Heron,Egretta sacra
2584,Laughing Owl,Sceloglaux albifacies,Extinct,0,0,Sceloglaux albifacies,,,,2584,Snowy Egret,Egretta thula
2585,Jamaican Owl,Pseudoscops grammicus,,3,0,Pseudoscops grammicus,,,,2585,Little Blue Heron,Egretta caerulea
2586,Striped Owl,Pseudoscops clamator,,114,3,Asio clamator,,,,2586,Tricolored Heron,Egretta tricolor
2587,Fearful Owl,Nesasio solomonensis,,10,0,Nesasio solomonensis,,,,2587,Reddish Egret,Egretta rufescens
2588,Stygian Owl,Asio stygius,,59,4,Asio stygius,,,,2588,Pied Heron,Egretta picata
2589,Long-eared Owl,Asio otus,,669,36,Asio otus,,,,2589,Slaty Egret,Egretta vinaceigula
2590,Abyssinian Owl,Asio abyssinicus,,0,0,Asio abyssinicus,,,,2590,Black Heron,Egretta ardesiaca
2591,Madagascan Owl,Asio madagascariensis,,5,0,Asio madagascariensis,,,,2591,Cattle Egret,Bubulcus ibis
2592,Short-eared Owl,Asio flammeus,,109,2,Asio flammeus,,,,2592,Squacco Heron,Ardeola ralloides
2593,Marsh Owl,Asio capensis,,11,0,Asio capensis,,,,2593,Indian Pond-Heron,Ardeola grayii
2594,Marbled Frogmouth,Podargus ocellatus,,18,2,Podargus ocellatus,,,,2594,Chinese Pond-Heron,Ardeola bacchus
2595,Papuan Frogmouth,Podargus papuensis,,20,1,Podargus papuensis,,,,2595,Javan Pond-Heron,Ardeola speciosa
2596,Tawny Frogmouth,Podargus strigoides,,18,6,Podargus strigoides,,,,2596,Madagascar Pond-Heron,Ardeola idae
2597,Solomons Frogmouth,Rigidipenna inexpectata,,11,0,Rigidipenna inexpectata,,,,2597,Rufous-bellied Heron,Ardeola rufiventris
2598,Large Frogmouth,Batrachostomus auritus,,27,0,Batrachostomus auritus,,,,2598,Green Heron,Butorides virescens
2599,Dulit Frogmouth,Batrachostomus harterti,,5,0,Batrachostomus harterti,,,,2599,Striated Heron,Butorides striata
2600,Philippine Frogmouth,Batrachostomus septimus,,24,0,Batrachostomus septimus,,,,2600,Agami Heron,Agamia agami
2601,Gould's Frogmouth,Batrachostomus stellatus,,25,1,Batrachostomus stellatus,,,,2601,Whistling Heron,Syrigma sibilatrix
2602,Sri Lanka Frogmouth,Batrachostomus moniliger,,20,0,Batrachostomus moniliger,,,,2602,Capped Heron,Pilherodius pileatus
2603,Hodgson's Frogmouth,Batrachostomus hodgsoni,,13,0,Batrachostomus hodgsoni,,,,2603,Reunion Night-Heron,Nycticorax duboisi
2604,Short-tailed Frogmouth,Batrachostomus poliolophus,,6,0,Batrachostomus poliolophus,,,,2604,Mauritius Night-Heron,Nycticorax mauritianus
2605,Bornean Frogmouth,Batrachostomus mixtus,,9,0,Batrachostomus mixtus,,,,2605,Rodrigues Night-Heron,Nycticorax megacephalus
2606,Javan Frogmouth,Batrachostomus javensis,,13,0,Batrachostomus javensis,,,,2606,Black-crowned Night-Heron,Nycticorax nycticorax
2607,Blyth's Frogmouth,Batrachostomus affinis,,28,2,Batrachostomus affinis,,,,2607,Rufous Night-Heron,Nycticorax caledonicus
2608,Palawan Frogmouth,Batrachostomus chaseni,,6,0,Batrachostomus chaseni,,,,2608,Yellow-crowned Night-Heron,Nyctanassa violacea
2609,Sunda Frogmouth,Batrachostomus cornutus,,26,0,Batrachostomus cornutus,,,,2609,Bermuda Night-Heron,Nyctanassa carcinocatactes
2610,Oilbird,Steatornis caripensis,,62,0,Steatornis caripensis,,,,2610,White-backed Night-Heron,Gorsachius leuconotus
2611,Great Potoo,Nyctibius grandis,,59,18,Nyctibius grandis,,,,2611,White-eared Night-Heron,Gorsachius magnificus
2612,Long-tailed Potoo,Nyctibius aethereus,,38,15,Nyctibius aethereus,,,,2612,Japanese Night-Heron,Gorsachius goisagi
2613,Northern Potoo,Nyctibius jamaicensis,,15,1,Nyctibius jamaicensis,,,,2613,Malayan Night-Heron,Gorsachius melanolophus
2614,Common Potoo,Nyctibius griseus,,174,67,Nyctibius griseus,,,,2614,Boat-billed Heron,Cochlearius cochlearius
2615,Andean Potoo,Nyctibius maculosus,,10,0,Nyctibius maculosus,,,,2615,White Ibis,Eudocimus albus
2616,White-winged Potoo,Nyctibius leucopterus,,48,3,Nyctibius leucopterus,,,,2616,Scarlet Ibis,Eudocimus ruber
2617,Rufous Potoo,Nyctibius bracteatus,,24,2,Nyctibius bracteatus,,,,2617,Glossy Ibis,Plegadis falcinellus
2618,Spotted Nightjar,Eurostopodus argus,,4,2,Eurostopodus argus,,,,2618,White-faced Ibis,Plegadis chihi
2619,White-throated Nightjar,Eurostopodus mystacalis,,6,1,Eurostopodus mystacalis,,,,2619,Puna Ibis,Plegadis ridgwayi
2620,Solomons Nightjar,Eurostopodus nigripennis,,0,0,Eurostopodus nigripennis,,,,2620,Madagascar Ibis,Lophotibis cristata
2621,New Caledonian Nightjar,Eurostopodus exul,,0,0,Eurostopodus exul,,,,2621,Sharp-tailed Ibis,Cercibis oxycerca
2622,Satanic Nightjar,Eurostopodus diabolicus,,4,0,Eurostopodus diabolicus,,,,2622,Green Ibis,Mesembrinibis cayennensis
2623,Papuan Nightjar,Eurostopodus papuensis,,5,0,Eurostopodus papuensis,,,,2623,Bare-faced Ibis,Phimosus infuscatus
2624,Archbold's Nightjar,Eurostopodus archboldi,,0,0,Eurostopodus archboldi,,,,2624,Plumbeous Ibis,Theristicus caerulescens
2625,Malaysian Eared Nightjar,Lyncornis temminckii,,9,1,Lyncornis temminckii,,,,2625,Buff-necked Ibis,Theristicus caudatus
2626,Great Eared Nightjar,Lyncornis macrotis,,59,14,Lyncornis macrotis,,,,2626,Black-faced Ibis,Theristicus melanopis
2627,Collared Nightjar,Gactornis enarratus,,0,0,Gactornis enarratus,,,,2627,Andean Ibis,Theristicus branickii
2628,Nacunda Nighthawk,Chordeiles nacunda,,19,1,Chordeiles nacunda,,,,2628,African Sacred Ibis,Threskiornis aethiopicus
2629,Least Nighthawk,Chordeiles pusillus,,34,8,Chordeiles pusillus,,,,2629,Madagascar Sacred Ibis,Threskiornis bernieri
2630,Sand-colored Nighthawk,Chordeiles rupestris,,8,4,Chordeiles rupestris,,,,2630,Reunion Ibis,Threskiornis solitarius
2631,Lesser Nighthawk,Chordeiles acutipennis,,72,12,Chordeiles acutipennis,,,,2631,Black-headed Ibis,Threskiornis melanocephalus
2632,Common Nighthawk,Chordeiles minor,,123,90,Chordeiles minor,,,,2632,Australian Ibis,Threskiornis molucca
2633,Antillean Nighthawk,Chordeiles gundlachii,,17,0,Chordeiles gundlachii,,,,2633,Straw-necked Ibis,Threskiornis spinicollis
2634,Short-tailed Nighthawk,Lurocalis semitorquatus,,127,18,Lurocalis semitorquatus,,,,2634,Red-naped Ibis,Pseudibis papillosa
2635,Rufous-bellied Nighthawk,Lurocalis rufiventris,,26,11,Lurocalis rufiventris,,,,2635,White-shouldered Ibis,Pseudibis davisoni
2636,Band-tailed Nighthawk,Nyctiprogne leucopyga,,34,8,Nyctiprogne leucopyga,,,,2636,Giant Ibis,Pseudibis gigantea
2637,Plain-tailed Nighthawk,Nyctiprogne vielliardi,,2,0,Nyctiprogne vielliardi,,,,2637,Northern Bald Ibis,Geronticus eremita
2638,Blackish Nightjar,Nyctipolus nigrescens,,37,2,Nyctipolus nigrescens,,,,2638,Southern Bald Ibis,Geronticus calvus
2639,Pygmy Nightjar,Nyctipolus hirundinaceus,,9,0,Nyctipolus hirundinaceus,,,,2639,Crested Ibis,Nipponia nippon
2640,Pauraque,Nyctidromus albicollis,,413,148,Nyctidromus albicollis,,,,2640,Olive Ibis,Bostrychia olivacea
2641,Anthony's Nightjar,Nyctidromus anthonyi,,21,1,Nyctidromus anthonyi,,,,2641,Sao Tome Ibis,Bostrychia bocagei
2642,Todd's Nightjar,Setopagis heterura,,0,0,Setopagis heterura,,,,2642,Spot-breasted Ibis,Bostrychia rara
2643,Little Nightjar,Setopagis parvula,,71,26,Setopagis parvula,,,,2643,Hadada Ibis,Bostrychia hagedash
2644,Roraiman Nightjar,Setopagis whitelyi,,0,0,Setopagis whitelyi,,,,2644,Wattled Ibis,Bostrychia carunculata
2645,Cayenne Nightjar,Setopagis maculosa,,0,0,Setopagis maculosa,,,,2645,Eurasian Spoonbill,Platalea leucorodia
2646,Sickle-winged Nightjar,Eleothreptus anomalus,,37,0,Eleothreptus anomalus,,,,2646,Royal Spoonbill,Platalea regia
2647,White-winged Nightjar,Eleothreptus candicans,,6,0,Eleothreptus candicans,,,,2647,African Spoonbill,Platalea alba
2648,Band-winged Nightjar,Systellura longirostris,,110,8,Systellura longirostris,,,,2648,Black-faced Spoonbill,Platalea minor
2649,Tschudi's Nightjar,Systellura decussata,,8,0,Systellura decussata,,,,2649,Yellow-billed Spoonbill,Platalea flavipes
2650,Swallow-tailed Nightjar,Uropsalis segmentata,,25,3,Uropsalis segmentata,,,,2650,Roseate Spoonbill,Platalea ajaja
2651,Lyre-tailed Nightjar,Uropsalis lyra,,37,0,Uropsalis lyra,,,,2651,California Condor,Gymnogyps californianus
2652,White-tailed Nightjar,Hydropsalis cayennensis,,27,0,Hydropsalis cayennensis,,,,2652,Andean Condor,Vultur gryphus
2653,Spot-tailed Nightjar,Hydropsalis maculicaudus,,59,10,Hydropsalis maculicaudus,,,,2653,King Vulture,Sarcoramphus papa
2654,Ladder-tailed Nightjar,Hydropsalis climacocerca,,24,0,Hydropsalis climacocerca,,,,2654,Black Vulture,Coragyps atratus
2655,Scissor-tailed Nightjar,Hydropsalis torquata,,30,1,Hydropsalis torquata,,,,2655,Turkey Vulture,Cathartes aura
2656,Long-trained Nightjar,Macropsalis forcipata,,7,0,Macropsalis forcipata,,,,2656,Lesser Yellow-headed Vulture,Cathartes burrovianus
2657,Least Poorwill,Siphonorhis brewsteri,,5,0,Siphonorhis brewsteri,,,,2657,Greater Yellow-headed Vulture,Cathartes melambrotus
2658,Jamaican Poorwill,Siphonorhis americana,Extinct,0,0,Siphonorhis americana,,,,2658,Secretarybird,Sagittarius serpentarius
2659,Choco Poorwill,Nyctiphrynus rosenbergi,,28,5,Nyctiphrynus rosenbergi,,,,2659,Osprey,Pandion haliaetus
2660,Eared Poorwill,Nyctiphrynus mcleodii,,12,2,Nyctiphrynus mcleodii,,,,2660,Pearl Kite,Gampsonyx swainsonii
2661,Yucatan Poorwill,Nyctiphrynus yucatanicus,,16,1,Nyctiphrynus yucatanicus,,,,2661,Black-winged Kite,Elanus caeruleus
2662,Ocellated Poorwill,Nyctiphrynus ocellatus,,91,104,Nyctiphrynus ocellatus,,,,2662,Black-shouldered Kite,Elanus axillaris
2663,Common Poorwill,Phalaenoptilus nuttallii,,140,94,Phalaenoptilus nuttallii,,,,2663,White-tailed Kite,Elanus leucurus
2664,Chuck-will's-widow,Antrostomus carolinensis,,97,16,Antrostomus carolinensis,,,,2664,Letter-winged Kite,Elanus scriptus
2665,Rufous Nightjar,Antrostomus rufus,,93,12,Antrostomus rufus,,,,2665,Scissor-tailed Kite,Chelictinia riocourii
2666,Cuban Nightjar,Antrostomus cubanensis,,1,0,Antrostomus cubanensis,,,,2666,African Harrier-Hawk,Polyboroides typus
2667,Hispaniolan Nightjar,Antrostomus ekmani,,6,0,Antrostomus cubanensis,,,,2667,Madagascar Harrier-Hawk,Polyboroides radiatus
2668,Tawny-collared Nightjar,Antrostomus salvini,,6,0,Antrostomus salvini,,,,2668,Palm-nut Vulture,Gypohierax angolensis
2669,Yucatan Nightjar,Antrostomus badius,,5,0,Antrostomus badius,,,,2669,Madagascar Serpent-Eagle,Eutriorchis astur
2670,Silky-tailed Nightjar,Antrostomus sericocaudatus,,52,6,Antrostomus sericocaudatus,,,,2670,Bearded Vulture,Gypaetus barbatus
